epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,671.414,3.2836,3.65552,2.93877,0.46075,0.15547,0.07441,0.02455,2.71007,2.32644,2.16123,0.000475202,0.000475202,0.000475202
2,1354.91,2.11184,1.73576,1.68434,0.65514,0.24072,0.27199,0.12476,1.90388,1.4359,1.57881,0.000932695,0.000932695,0.000932695
3,2052.44,1.82521,1.39777,1.46337,0.634,0.26887,0.28178,0.12763,1.81717,1.37317,1.4829,0.00137132,0.00137132,0.00137132
4,2748.09,1.6822,1.25823,1.37219,0.48832,0.36247,0.35036,0.1785,1.5712,1.18879,1.34926,0.00134412,0.00134412,0.00134412
5,3461.54,1.56809,1.14337,1.30521,0.3881,0.32953,0.37017,0.18663,1.58349,1.16246,1.3462,0.00131582,0.00131582,0.00131582
6,4167.8,1.49672,1.0801,1.26366,0.46412,0.37528,0.38974,0.19463,1.57889,1.17217,1.34531,0.00128753,0.00128753,0.00128753
7,4867.27,1.44253,1.02945,1.23745,0.50631,0.40467,0.39951,0.20593,1.50331,1.0684,1.29,0.00125923,0.00125923,0.00125923
8,5594.09,1.38267,0.97588,1.20207,0.52245,0.46197,0.4603,0.24585,1.39611,0.98563,1.24606,0.00123094,0.00123094,0.00123094
9,6293.23,1.33667,0.94325,1.18424,0.46905,0.44648,0.43664,0.23435,1.39852,1.0164,1.24941,0.00120265,0.00120265,0.00120265
10,6989.28,1.31835,0.91534,1.17084,0.47211,0.45265,0.45595,0.24254,1.37799,0.97048,1.22309,0.00117435,0.00117435,0.00117435
11,7678.9,1.27407,0.88317,1.15129,0.55481,0.47884,0.49163,0.27796,1.26598,0.89821,1.18158,0.00114606,0.00114606,0.00114606
12,8376.75,1.2519,0.85594,1.13603,0.53026,0.46679,0.47723,0.25975,1.32185,0.91176,1.19663,0.00111776,0.00111776,0.00111776
13,9064.16,1.2263,0.8369,1.1256,0.63269,0.49501,0.53278,0.29124,1.26981,0.85368,1.16484,0.00108947,0.00108947,0.00108947
14,9762.06,1.20877,0.81925,1.11499,0.59112,0.51379,0.52771,0.30174,1.21697,0.82051,1.1498,0.00106118,0.00106118,0.00106118
15,10469.6,1.18626,0.80263,1.10321,0.65676,0.50687,0.55834,0.31183,1.20547,0.82637,1.1371,0.00103288,0.00103288,0.00103288
16,11187.8,1.17087,0.78553,1.09466,0.65101,0.51423,0.56429,0.31746,1.22052,0.82827,1.13828,0.00100459,0.00100459,0.00100459
17,11881.1,1.15189,0.77045,1.08971,0.68494,0.48859,0.57374,0.32489,1.21325,0.82114,1.14071,0.000976293,0.000976293,0.000976293
18,12579.6,1.13357,0.75407,1.07969,0.65291,0.52044,0.57283,0.32732,1.20047,0.78126,1.12498,0.000947999,0.000947999,0.000947999
19,13294.8,1.12327,0.74345,1.07183,0.70903,0.5148,0.60028,0.34588,1.18283,0.77011,1.11993,0.000919704,0.000919704,0.000919704
20,13989.8,1.1035,0.73185,1.06486,0.6459,0.54782,0.58003,0.33308,1.19488,0.77839,1.11759,0.00089141,0.00089141,0.00089141
21,14701,1.09582,0.72003,1.06091,0.65706,0.56262,0.617,0.34843,1.18403,0.77073,1.12785,0.000863116,0.000863116,0.000863116
22,15416,1.09322,0.71707,1.05284,0.70652,0.55187,0.62693,0.36574,1.11953,0.73951,1.09313,0.000834822,0.000834822,0.000834822
23,16113.7,1.08711,0.7124,1.05066,0.69051,0.55248,0.61836,0.35884,1.15834,0.75391,1.09319,0.000806528,0.000806528,0.000806528
