epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.877,1.39325,1.44097,1.10316,0.62275,0.48948,0.52794,0.31007,1.22238,0.90027,1.03846,0.000475202,0.000475202,0.000475202
2,553.497,1.29567,1.01995,1.08112,0.67818,0.48091,0.56748,0.31175,1.2553,0.85122,1.05211,0.000932695,0.000932695,0.000932695
3,833.968,1.27629,0.94325,1.07394,0.64105,0.56853,0.6114,0.35776,1.18377,0.8141,1.02267,0.00137132,0.00137132,0.00137132
4,1105.82,1.2371,0.89067,1.06087,0.62854,0.55849,0.60386,0.35807,1.14132,0.7867,1.01093,0.00134412,0.00134412,0.00134412
5,1361.06,1.20499,0.85348,1.05067,0.68763,0.56463,0.63589,0.37028,1.11519,0.74972,1.01252,0.00131582,0.00131582,0.00131582
6,1610.22,1.18124,0.82499,1.04083,0.68249,0.59813,0.65471,0.38933,1.11536,0.72842,1.00902,0.00128753,0.00128753,0.00128753
7,1856.95,1.15422,0.80116,1.03314,0.75464,0.57493,0.67421,0.40713,1.07194,0.70269,0.98853,0.00125923,0.00125923,0.00125923
8,2102.42,1.14202,0.78104,1.02508,0.80592,0.60331,0.70493,0.4281,1.0927,0.69297,1.01408,0.00123094,0.00123094,0.00123094
9,2345.98,1.12254,0.76567,1.01721,0.77451,0.62408,0.70303,0.42882,1.03804,0.6688,0.98604,0.00120265,0.00120265,0.00120265
10,2595.99,1.11919,0.75505,1.01695,0.77984,0.63817,0.73171,0.45211,1.03061,0.64381,0.98103,0.00117435,0.00117435,0.00117435
11,2844.19,1.10408,0.74356,1.01332,0.81232,0.618,0.71863,0.44428,1.03127,0.65119,0.98026,0.00114606,0.00114606,0.00114606
12,3092.43,1.07973,0.72089,0.99989,0.78764,0.65118,0.73954,0.45685,1.01435,0.63644,0.96727,0.00111776,0.00111776,0.00111776
13,3338.43,1.07995,0.72023,0.9994,0.82176,0.64743,0.75817,0.47168,0.99167,0.63036,0.97097,0.00108947,0.00108947,0.00108947
14,3586.47,1.07022,0.71035,1.00043,0.81836,0.6749,0.77314,0.48487,0.98303,0.61097,0.96504,0.00106118,0.00106118,0.00106118
15,3835.32,1.05458,0.69536,0.98878,0.82913,0.68846,0.77664,0.48676,0.9617,0.60037,0.95715,0.00103288,0.00103288,0.00103288
16,4084.41,1.04497,0.69183,0.98854,0.82343,0.67936,0.77756,0.47551,0.97428,0.59693,0.96043,0.00100459,0.00100459,0.00100459
17,4329.67,1.04169,0.68097,0.98547,0.80303,0.68168,0.77371,0.49319,0.95333,0.5864,0.9557,0.000976293,0.000976293,0.000976293
18,4606.99,1.02587,0.66817,0.98408,0.80518,0.68827,0.77337,0.49733,0.94461,0.58661,0.95274,0.000947999,0.000947999,0.000947999
19,4854.72,1.02507,0.66421,0.9781,0.83216,0.69364,0.79427,0.50931,0.93239,0.57364,0.9477,0.000919704,0.000919704,0.000919704
20,5099.56,1.00832,0.65616,0.97689,0.83229,0.71129,0.79744,0.50618,0.93272,0.57794,0.94725,0.00089141,0.00089141,0.00089141
21,5341.68,1.00611,0.65472,0.97302,0.79657,0.71595,0.79668,0.51633,0.92971,0.56067,0.94377,0.000863116,0.000863116,0.000863116
22,5586.09,0.99653,0.64268,0.97088,0.8731,0.69157,0.80787,0.51636,0.92869,0.56295,0.94748,0.000834822,0.000834822,0.000834822
23,5832.5,0.98626,0.63889,0.96808,0.85813,0.71378,0.81037,0.52385,0.91921,0.53705,0.9445,0.000806528,0.000806528,0.000806528
24,6079.78,0.98431,0.63308,0.96688,0.84382,0.72659,0.811,0.52545,0.90225,0.54786,0.93875,0.000778233,0.000778233,0.000778233
25,6326.15,0.97967,0.631,0.9678,0.85005,0.72114,0.82199,0.53127,0.89833,0.5364,0.93602,0.000749939,0.000749939,0.000749939
26,6567.53,0.96756,0.62005,0.96125,0.85477,0.71974,0.81862,0.53653,0.89941,0.53238,0.93818,0.000721645,0.000721645,0.000721645
27,6812.98,0.95912,0.61484,0.95931,0.86338,0.73201,0.82103,0.53814,0.88876,0.52347,0.93121,0.000693351,0.000693351,0.000693351
28,7057.52,0.95553,0.61103,0.95411,0.86037,0.72066,0.82242,0.5428,0.88664,0.52855,0.93203,0.000665057,0.000665057,0.000665057
29,7301.03,0.94358,0.60219,0.95272,0.85919,0.72394,0.81919,0.54385,0.88115,0.51999,0.9294,0.000636762,0.000636762,0.000636762
30,7547.41,0.94266,0.60012,0.94963,0.86186,0.73434,0.82781,0.55147,0.87554,0.51462,0.92846,0.000608468,0.000608468,0.000608468
31,7795.03,0.93925,0.59679,0.95086,0.88549,0.73214,0.83352,0.55011,0.86461,0.50715,0.92663,0.000580174,0.000580174,0.000580174
32,8045.38,0.92811,0.58681,0.94677,0.85034,0.74381,0.82649,0.55693,0.86328,0.50281,0.92566,0.00055188,0.00055188,0.00055188
33,8295.74,0.92721,0.58604,0.94617,0.88336,0.73027,0.83176,0.55829,0.86295,0.50585,0.92578,0.000523586,0.000523586,0.000523586
34,8546.54,0.92014,0.57979,0.94456,0.88325,0.74865,0.84165,0.56965,0.8549,0.49978,0.92329,0.000495291,0.000495291,0.000495291
35,8796.68,0.91036,0.57545,0.94164,0.86232,0.75928,0.84288,0.56433,0.85728,0.49842,0.92352,0.000466997,0.000466997,0.000466997
36,9048.48,0.90615,0.57319,0.94022,0.85661,0.76734,0.84405,0.565,0.85351,0.4931,0.92423,0.000438703,0.000438703,0.000438703
37,9301.99,0.89872,0.56449,0.93851,0.8563,0.76058,0.8459,0.56463,0.85435,0.49578,0.92367,0.000410409,0.000410409,0.000410409
