epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.521,1.39829,1.63565,1.10796,0.54287,0.48432,0.51806,0.28388,1.32331,0.97576,1.10876,0.000475202,0.000475202,0.000475202
2,378.079,1.29352,1.04545,1.08582,0.6372,0.51248,0.55361,0.3226,1.23755,0.88148,1.09187,0.000857333,0.000857333,0.000857333
3,561.848,1.25179,0.9091,1.06956,0.57982,0.54223,0.58272,0.32529,1.21159,0.83119,1.0752,0.00114515,0.00114515,0.00114515
4,742.388,1.19598,0.83713,1.04769,0.66524,0.53656,0.60446,0.35716,1.16681,0.77534,1.05916,0.00100459,0.00100459,0.00100459
5,923.131,1.14184,0.77991,1.0255,0.77746,0.52648,0.63383,0.37825,1.16631,0.74613,1.0609,0.000863116,0.000863116,0.000863116
6,1110.31,1.10241,0.73585,1.00871,0.74137,0.5817,0.66712,0.4021,1.12087,0.73013,1.04716,0.000721645,0.000721645,0.000721645
7,1294.75,1.06656,0.69942,0.99428,0.72198,0.6118,0.67073,0.40278,1.08141,0.69869,1.0231,0.000580174,0.000580174,0.000580174
8,1473.97,1.03109,0.66297,0.98034,0.81114,0.58886,0.70477,0.43718,1.0484,0.68293,1.01624,0.000438703,0.000438703,0.000438703
9,1652.98,0.99554,0.63513,0.96743,0.75634,0.64836,0.72296,0.45766,1.02914,0.64075,1.00828,0.000297232,0.000297232,0.000297232
10,1837.53,0.96391,0.61008,0.954,0.81826,0.62744,0.72872,0.46006,1.02895,0.63961,1.00225,0.000155761,0.000155761,0.000155761
