epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.484,1.39327,1.45155,1.09476,0.64947,0.47868,0.52238,0.30353,1.25496,0.97486,1.05567,0.000475202,0.000475202,0.000475202
2,425.804,1.30303,1.02639,1.0822,0.72042,0.5242,0.59538,0.34507,1.17698,0.84689,1.04079,0.000932695,0.000932695,0.000932695
3,627.526,1.26274,0.9316,1.06711,0.67445,0.50253,0.5795,0.34267,1.19472,0.82442,1.0451,0.00137132,0.00137132,0.00137132
4,826.495,1.24081,0.89081,1.05868,0.7479,0.51637,0.60767,0.363,1.12071,0.75294,1.02572,0.00134412,0.00134412,0.00134412
5,1030.42,1.20684,0.84797,1.04621,0.76622,0.54148,0.64053,0.39042,1.07784,0.73403,1.01537,0.00131582,0.00131582,0.00131582
6,1233.75,1.17496,0.82026,1.03312,0.78485,0.5712,0.66799,0.4056,1.08533,0.70498,1.01528,0.00128753,0.00128753,0.00128753
7,1434.28,1.15671,0.79661,1.02885,0.74904,0.61837,0.68463,0.41308,1.05976,0.69801,1.00323,0.00125923,0.00125923,0.00125923
8,1635.81,1.144,0.78103,1.02594,0.76548,0.60058,0.68706,0.41907,1.04337,0.68391,1.00058,0.00123094,0.00123094,0.00123094
9,1833.47,1.1161,0.76086,1.01603,0.78134,0.60154,0.69562,0.42589,1.02636,0.66767,0.99584,0.00120265,0.00120265,0.00120265
10,2033.66,1.11132,0.75224,1.01062,0.8118,0.61848,0.72325,0.44192,1.02662,0.64876,0.99157,0.00117435,0.00117435,0.00117435
11,2234.86,1.0995,0.73852,1.00848,0.80115,0.63067,0.72989,0.448,1.01547,0.6412,0.99032,0.00114606,0.00114606,0.00114606
12,2438.41,1.0831,0.72192,0.99921,0.78922,0.63537,0.72644,0.45324,0.98319,0.63284,0.98633,0.00111776,0.00111776,0.00111776
13,2641.07,1.07347,0.71568,0.99798,0.81335,0.6481,0.73918,0.46138,0.97815,0.61185,0.97619,0.00108947,0.00108947,0.00108947
14,2839.56,1.05686,0.69988,0.99419,0.81688,0.64881,0.7431,0.47367,0.9598,0.59787,0.97501,0.00106118,0.00106118,0.00106118
15,3037.94,1.04788,0.68909,0.98924,0.83416,0.65971,0.75735,0.47657,0.95914,0.59678,0.96909,0.00103288,0.00103288,0.00103288
16,3234.08,1.04127,0.68131,0.98269,0.77848,0.68893,0.76072,0.47664,0.9611,0.59035,0.97259,0.00100459,0.00100459,0.00100459
17,3432.48,1.03342,0.67448,0.98207,0.8172,0.6788,0.7682,0.48443,0.92698,0.58185,0.96171,0.000976293,0.000976293,0.000976293
18,3628.55,1.02045,0.66648,0.98004,0.84724,0.69366,0.78276,0.49381,0.92676,0.57003,0.96366,0.000947999,0.000947999,0.000947999
19,3823.51,1.02261,0.66285,0.97826,0.86535,0.68337,0.7925,0.49904,0.91567,0.56943,0.95858,0.000919704,0.000919704,0.000919704
20,4019.16,1.0101,0.65448,0.97651,0.8425,0.69455,0.78464,0.49726,0.91556,0.56655,0.95507,0.00089141,0.00089141,0.00089141
21,4213.07,1.00034,0.64722,0.9686,0.85782,0.71303,0.80646,0.51133,0.90547,0.55698,0.94794,0.000863116,0.000863116,0.000863116
22,4409.18,0.98935,0.63831,0.96596,0.81611,0.70396,0.79744,0.51379,0.89359,0.55071,0.9464,0.000834822,0.000834822,0.000834822
